id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma
HtsDS2E2,,,,,,2,2,DE,Koeln,"7,7",2020,Bildundtonfabrik
HtsDS2E3,,,,,,2,2,DE,Koeln,8,2020,Bildundtonfabrik
HtsDS2E4,,,,,,2,2,DE,Koeln,"8,1",2020,Bildundtonfabrik
HtsDS2E5,,,,,,2,2,DE,Koeln,"8,1",2020,Bildundtonfabrik
HtsDS2E6,,,,,,2,2,DE,Koeln,"8,5",2020,Bildundtonfabrik
MS,Mia Spengler,2,Filmakademie Baden Wuerttemberg,FABW,2,1,,,,,,
StFeSc,Strafe nach Ferdinand von Schirach,,,,,2,4,DE,,"7,2",2022,MOOVIE the art of entertainment
TaGoZe,Tatort Die goldene Zeit,,,,,2,4,WDE,Hamburg,"6,4",2019,Wueste Medien
TaScLe,Tatort Schattenleben,,,,,2,4,DE,Hamburg,6,2022,
FlLe,Fluss des Lebens,,,,,2,6,DE,,"5,8",2019,Schiwago Film
