from,to,relation
KE,RoZae,2
KE,DoRo,2
KE,SeWe,2
KE,HeBl,2
BL,StFeSc,2
BL,TaGo,2
BL,TaFa,2
BL,TaBlAn,2
BL,TaHoTo,2
BL,DaNe,2
BL,DeKr,2
BL,UeLae,2
BL,CrDe,2
BL,Po110Si,2
BL,DaVe,2
BL,KlLue,2
BL,ZwZwZe,2
BL,AkGr,2
JN,DrCk,2
JN,JeRk,2
JN,AbKa,2
JL,BaKr,3
JL,ZeGe,3
JL,CoHe,3
JL,StTr,3
JL,DaNe,3
JL,SoSc,3
JL,HeAg,3
JL,BeAl,3
JL,HiKa,3
JL,WaUm,3
JL,InGae,3
JL,TaRoSc,3
JL,ZaFr,3
JL,MaeEx,3
JL,IcWe,3
JL,GrEk,3
JL,WiJu,3
JL,KrWe,3
JL,16xDe,3
JL,VeFr,3
JL,JaLe,3
FM,JaLe,3
FM,StTr,3
FM,DaNe,3
FM,SoSc,3
FM,HeAg,3
FM,BeAl,3
FM,HiKa,3
FM,ZeGe,3
FM,WaUm,3
FM,InGae,3
FM,TaRoSc,3
FM,CoHe,3
FM,GrEk,3
FM,KrWe,3
FM,VeFr,3
FM,BaKr,3
RT,TaGo,1
RT,TaNiWa,1
RT,TaNiAlWa,1
RT,TkKg,1
RT,KuFr,1
RT,PoKaPr,1
RT,ElTe,1
OZ,RoAd,2
OZ,KmH,2
OZ,KuFr,2
OZ,BlDaLe,2
OZ,BeLeSo,2
OZ,MuWe,2
AB,TkKg,3
AB,KuFr,3
AB,16xDe,3
AB,ElTe,3
AB,KiDa,3
AB,HaSy,3
AB,AlMa,3
AB,HoTa,3
AB,BiDa,3
AB,WaKn,3
AB,MdB,3
AB,BrScNo,3
AB,VeVo,3
SB,EvLu,3
SB,BiToFr,3
SB,StRe,3
SB,BrEr,3
SB,PoTo,3
SB,JeNi,3
SB,ViGr,3
SB,GeHe,3
SB,ClGe,3
SBP,SaSe,3
SBP,ZeGe,3
SBP,MiSo,3
SBP,TeRa,3
SBP,RoWi,3
SBP,TePi,3
