id,name,sex,university,university_short,awards,type,genre,country,location,rating,year,Produktionsfirma,Tatort
OffDaLeikeiBo,Offline Das Leben ist kein Bonuslevel,99,,,0,2,2,DE,Muenchen,"5,2",2016,Rat Pack Filmproduktion,99
LaofGi,Land of Giants,99,,,0,2,99,DE,Berlin,"7,1",2013,RoundhouseFilm,99
RM,Ron Markus,1,Filmakademie Baden Wuerttemberg,FABW,1,1,4,,,,,,99
AnEl,Andere Eltern,99,,,0,2,2,DE,Berlin,7,2020,Eitel Sonnenschein,99
BaBa,Bad Banks,99,,,0,2,4,DE,Berlin,"7,8",2020,Letterbox Filmproduktion,99
KaFfo,Katie Fforde,99,,,0,2,6,DE,,5,2019,,99
DeLe,Der Lehrer,99,,,0,2,2,DE,,"7,2",2017,Sony Pictures Film und Fernseh Produktions,99
LoSchoe,Lola Schoen Kommissarin Deluxe,99,,,0,2,4,DE,Berlin,,2013,Opal Filmproduktion,99
GH,Georg Hartmann,1,Ruhr Universitaet Bochum,RUB,0,1,4,,,,,,99
SOKoe,SOKO Koeln,99,,,0,2,4,DE,Koeln,"5,4",2020,Network Movie Film und Fernsehproduktion,99
ProT,Professor T,99,,,0,2,4,DE,Koeln,"6,8",2017,Rowboat Film und Fernsehproduktion,99
DiChe,Die Chefin,99,,,0,2,4,DE,Koeln,"6,4",2016,Network Movie Film und Fernsehproduktion,99
AR,Arend Remmers,1,,,3,1,4,,,,,,99
BoKiWo,Boy Kills World,99,,,0,2,99,DE,Midrand,"6,5",2023,Nthibah Pictures,99
TraFa,Traumfabrik,99,,,0,2,2,DE,Babelsberg,"6,5",2019,Traumfabrik Babelsberg,99
RounKla,Ronny und Klaid,99,,,0,2,2,DE,Berlin,"5,6",2018,Dropkick Pictures,99
Schnefloe,Schneefloeckchen,99,,,0,2,2,DE,Berlin,"6,3",2017,Lopta Film,99
UnZeiije,Unsere Zeit ist jetzt,99,,,0,2,2,DE,Ruedersdorf,"5,2",2016,Warner Bros Filmproductions Germany,99
Kry,Kryo,99,,,0,2,6,DE,Ludwigsburg,"6,6",2016,Filmakademie Baden Wuerttemberg,99
Unplu,Unplugged,99,,,0,2,99,CAN,,"8,2",2015,Dakota Pictures,99
EnidiEn,Entscheidend ist die Entscheidung,99,,,0,2,99,DE,Berlin,,2015,Lopta Film,99
Wisihi,Wir sind hier Alba Berlin,99,,,0,2,99,DE,Berlin,,2013,Lopta Film,99
Aubli,Augenblick,99,,,0,2,6,DE,Berlin,6,2013,Lopta Film,99
UN,Unorthodox,99,,,0,3,6,DE,Berlin,8,2020,Studio Airlift,99
UNS1,UN Staffel 1,99,,,0,2,99,,,,,,99
UNS1E1,UN Staffel 1 Episode 1,99,,,0,2,6,DE,Berlin,"7,8",2020,Studio Airlift,99
UNS1E2,UN Staffel1 Episode 2,99,,,0,2,6,DE,Berlin,8,2020,Studio Airlift,99
UNS1E3,UN Staffel 1 Episode 3,99,,,0,2,6,DE,Berlin,7,2020,Studio Airlift,99
UNS1E4,UN Staffel 1 Episode 4,99,,,0,2,6,DE,Berlin,"8,2",2020,Studio Airlift,99
MaS,Maria Schrader,2,,,3,1,6,,,,,,99
ShSa,She Said,99,,,0,2,6,JPN,New York,"7,3",2022,Universal Pictures,99
IcbideMe,Ich bin dein Mensch,99,,,0,2,2,DE,Berlin,"7,1",2021,Letterbox Filmproduktion,99
VodeMo,Vor der Morgenroete,99,,,0,2,6,AUS,Bahia,"6,7",2016,X Filme Creative Pool,99
AW,Anna Winger,2,Columbia University New York,CUNY,1,1,6,,,,,,99
TrAn,Transatlantic,99,,,0,2,6,DE,Marseille,"6,6",2023,Studio Airlift,99
CoCa,Comrades und Cash Geheime Geschaefte unter dem Eisernen Vorhand,99,,,0,2,99,,,"7,5",2018,MobyDok Medienproduktion,99
De83,Deutschland 83,99,,,0,2,6,DE,Berlin,"8,1",2015,RTL,99
AK,Alexa Karolinksi,2,School of Visual Arts,SVA,1,1,6,,,,,,99
HK,Henning Kamm,1,Universitaet Lueneburg,UL,3,1,6,,,,,,99
EvFcCr,Everyone is Fcking Crazy,99,,,0,2,6,DE,,"7,2",2023,Real Film Berlin,99
ScHu,Schlafende Hunde,99,,,0,2,4,DE,Berlin,"6,4",2023,Real Film Berlin,99
3eiSt,3 einhalb Stunden,99,,,0,2,4,DE,,"6,3",2021,Real Film Berlin,99
AuDeToBu,Auckland Detectives Toedliche Bucht,99,,,0,2,4,NZL,Auckland,"6,8",2019,Letterbox Filmproduktion,99
PaWo7,Papa auf Wolke 7,99,,,0,2,2,DE,Berlin,"5,6",2020,Real Film Berlin,99
Po110,Polizeiruf 110,99,,,0,2,6,DE,,"6,4",2013,Deutscher Fernsehfunk,99
VoBiBi,Von Bienen und Blumen,99,,,0,2,99,DE,Gerswalde,6,2019,Detailfilm,99
MoPion,Monsieur Pierre geht online,99,,,0,2,2,FR,Koeln,"6,3",2017,Ici et la Productions,99
Erlo,Erloesung,99,,,0,2,4,DNK,Romo,7,2016,Zentropa Entertainments,99
BeMe,Berlin Metanoia,99,,,0,2,6,DE,Berlin,"7,5",2016,Detailfilm,99
OnTwTh,One Two Three,99,,,0,2,99,ARM,,"7,2",2015,Bars Media,99
Szgy,Szerdai gyerek,99,,,0,2,6,HUN,,"6,7",2015,Popfilm,99
Dina,Dissonance,99,,,0,2,6,DE,,"6,9",2015,FrameboX,99
Dela,Delay,99,,,0,2,2,DE,,"6,8",2014,,99
II,II,99,,,0,2,6,,Sterea Ellada,"6,2",2014,Horsefly Productions,99
Tekp,Telekomando,99,,,0,2,2,DE,,"7,1",2014,Detailfilm,99
Foev,Forever,99,,,0,2,6,DE,Berlin,"7,6",2014,Detailfilm,99
Kuzu,Kuzu,99,,,0,2,6,TUR,Erzincan,"6,6",2015,Institute for the Readjustment of Clocks,99
FuBe,Future Beach,99,,,0,2,6,BRA,Berlin,"6,3",2014,Coracao da Selva,99
Sama,Sa mamom,99,,,0,2,6,BIH,Sarajevo,6,2013,SCCA pro ba,99
KeibeBe,K ein besonderes Beduerfnis,99,,,0,2,99,ITA,Italien,"7,3",2014,Detailfilm,99
Kadra,Kathedralen,99,,,0,2,99,DE,Ordos,"8,1",2013,Detailfilm,99
NaGa,Nashorn im Galopp,99,,,0,2,2,DE,Berlin,"7,7",2013,Detailfilm,99
